Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q4,PATERSON RESIDENCE,9,5.33,5.48,5.84
2023Q4,PAVILION 11,11,4.5,4.65,4.7
2023Q4,PEBBLE BAY,15,4.27,4.54,4.93
2023Q4,PEOPLE'S PARK COMPLEX,1,4.54,5.32,6.16
2023Q4,PRESTIGE HEIGHTS,12,7.26,7.49,7.79
2023Q4,PRINCIPAL GARDEN,3,6.32,6.59,7.27
2023Q4,Q BAY RESIDENCES,18,4.22,4.48,5.31
2023Q4,QUEENS,3,4.94,5.18,5.3
2023Q4,QUEENS PEAK,3,6.19,6.92,8.21
2023Q4,QUESTA @ DUNMAN,15,4.94,5.2,5.39
2023Q4,REFLECTIONS AT KEPPEL BAY,4,5.26,5.55,5.91
2023Q4,REGENCY PARK,10,3.71,4.11,4.42
2023Q4,REGENT GROVE,23,3.34,3.45,3.63
2023Q4,REGENT HEIGHTS,23,3.42,3.61,3.72
2023Q4,REGENT PARK,5,3.79,4.42,4.71
2023Q4,REGENT RESIDENCES,12,4.41,4.65,5.39
2023Q4,REGENTVILLE,19,3.47,3.65,3.91
2023Q4,REZI 26,14,4.68,5.23,5.86
2023Q4,RICHMOND PARK,9,5.14,5.29,5.66
2023Q4,RIDGEWOOD,10,2.99,3.24,3.47
2023Q4,RIO VISTA,19,3.16,3.41,3.62
2023Q4,RIPPLE BAY,18,3.98,4.27,4.95
2023Q4,RIS GRANDEUR,18,3.22,3.25,3.66
2023Q4,RIVER ISLES,19,3.7,4.22,4.56
2023Q4,RIVER PLACE,3,4.65,4.84,5.19
2023Q4,RIVERBANK @ FERNVALE,28,3.61,4.17,4.56
2023Q4,RIVERFRONT RESIDENCES,19,4.99,5.61,6.05
2023Q4,RIVERGATE,9,6.17,6.48,6.7
2023Q4,RIVERSAILS,19,3.74,4.06,4.26
2023Q4,RIVERSOUND RESIDENCE,19,3.61,4.31,4.71
2023Q4,RIVERWALK APARTMENTS,1,4.43,4.59,4.86
2023Q4,RIVIERE,3,7.93,8.39,8.59
